,Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Category_Furniture,Category_Office Supplies,Category_Technology,Sub-Category_Accessories,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
0,4918,CA-2019-160304,01-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",73.94,1,28.2668,,Online,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,4919,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,38.2668,,Online,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,9494,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,350.427,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,8031,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,Neoma Murray,Consumer,United States,Amarillo,Texas,Central,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",23.076,3,-10.9611,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,6851,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,Central,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,407.1288,,Online,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
5,3702,CA-2019-126543,09-01-2019,13-01-2019,Second Class,MF-17665,Maureen Fritzler,Corporate,United States,Toledo,Ohio,East,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",15.168,2,3.792,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,4667,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,West,FUR-FU-10000076,24-Hour Round Wall Clock,79.92,4,34.3656,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,6970,CA-2019-163937,10-01-2019,13-01-2019,Second Class,JB-16000,Joy Bell-,Consumer,United States,Longview,Washington,West,FUR-FU-10000010,"DAX Value U-Channel Document Frames, Easel Back",24.85,5,7.7035,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,8522,CA-2019-141887,11-01-2019,15-01-2019,Standard Class,MP-17470,Mark Packer,Home Office,United States,Columbus,Ohio,East,FUR-FU-10002268,Ultra Door Push Plate,54.992,14,8.9362,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,7270,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,Anna Gayman,Consumer,United States,Concord,North Carolina,South,FUR-FU-10003374,Electrix Fluorescent Magnifier Lamps & Weighted Base,315.776,8,31.5776,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,3236,CA-2019-140746,15-01-2019,15-01-2019,Same Day,RC-19825,Roy Collins,Consumer,United States,Fairfield,Connecticut,East,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",181.797,1,-15.5826,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,876,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,East,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",322.59,3,64.518,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
